,superficie,time_ctrl,PRECIPITACION,time_ext,SOL,personal,RACHA,lng,lat,Año,TMAX,medios,PRES_RANGE
101,2.0,1.5,0,1.5,13.0,11,7.2,-8.623962,42.845404,2001,28.8,2,5.59999999999991
102,3.0,1.3,0,1.3,13.0,18,7.2,-8.201348,43.590545,2001,28.8,4,5.59999999999991
103,2.0,1.05,0,1.05,13.0,13,7.2,-8.287932,43.501867,2001,28.8,1,5.59999999999991
104,2.2,1.3,0,1.3,13.0,12,7.2,-8.287918,43.473549,2001,28.8,2,5.59999999999991
105,1.5,1.3,0,1.3,13.0,5,7.2,-9.033727,43.04568,2001,28.8,3,5.59999999999991
106,3.5,2.0,0,2.0,13.0,21,7.2,-8.618866,42.754604,2001,28.8,3,5.59999999999991
107,2.5,1.25,0,1.25,13.0,10,7.2,-8.648783,42.786588,2001,28.8,1,5.59999999999991
108,2.0,1.35,0,1.35,13.0,16,7.2,-8.29106,43.452291,2001,28.8,4,5.59999999999991
109,2.0,3.55,0,3.55,11.7,10,11.4,-8.719067,42.863526,2001,23.4,2,3.0
110,1.25,1.55,0,1.55,11.7,9,11.4,-8.871319,43.061992,2001,23.4,1,3.0
111,2.0,1.2,0,1.2,11.7,7,11.4,-9.034524,42.626273,2001,23.4,1,3.0
112,1.0,2.35,1,2.35,4.2,21,9.2,-8.495562,43.291593,2001,22.0,3,5.69999999999993
113,2.6,1.45,0,1.45,3.2,16,10.0,-8.608497,42.788592,2001,20.8,1,2.60000000000002
114,4.0,3.3,0,3.3,4.6,21,12.5,-8.463079,43.30714,2001,22.6,3,3.39999999999998
115,2.5,1.1,0,1.1,1.6,6,10.0,-8.91086,42.673902,2001,19.6,2,1.10000000000002
116,3.0,3.5,1,3.5,5.0,23,7.5,-8.880832,42.752862,2001,22.2,5,2.69999999999993
117,1.2,2.05,0,2.05,11.6,23,15.6,-8.91086,42.673902,2001,24.4,1,1.80000000000007
118,1.2,3.15,0,3.15,11.6,14,15.6,-9.055546,43.074649,2001,24.4,2,1.80000000000007
119,1.5,1.05,0,1.05,11.6,21,15.6,-8.386887,43.193217,2001,24.4,3,1.80000000000007
120,1.5,0.5,0,0.5,11.6,10,15.6,-8.648783,42.786588,2001,24.4,2,1.80000000000007
121,1.3,0.5,0,0.5,11.6,18,15.6,-8.201348,43.590545,2001,24.4,3,1.80000000000007
