,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_max_depth,param_min_samples_split,param_n_estimators
14,0,30,0.0,0.0,0.003123950958251953,0.006247901916503906,0.1,rbf,,"{'C': 0.1, 'kernel': 'rbf', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
15,0,30,0.0,0.0,0.0,0.0,0.1,sigmoid,,"{'C': 0.1, 'kernel': 'sigmoid', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
16,0,30,0.0031242847442626955,0.00624856948852539,0.0,0.0,1.0,linear,,"{'C': 1.0, 'kernel': 'linear', 'random_state': None}",1.0,1.0,1.0,0.8333333333333334,0.5,0.8666666666666668,0.19436506316151,21,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,SVC,,,
17,0,30,0.0,0.0,0.0,0.0,1.0,poly,,"{'C': 1.0, 'kernel': 'poly', 'random_state': None}",1.0,1.0,1.0,1.0,0.8333333333333334,0.9666666666666666,0.06666666666666665,1,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.875,0.9166666666666666,0.8916666666666666,0.033333333333333305,SVC,,,
18,0,30,0.0031234264373779298,0.0062468528747558595,0.0,0.0,1.0,rbf,,"{'C': 1.0, 'kernel': 'rbf', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.9166666666666666,0.7916666666666666,0.875,0.9166666666666666,0.8833333333333334,0.0485912657903775,SVC,,,
19,0,30,0.0,0.0,0.0029999256134033204,0.005999851226806641,1.0,sigmoid,,"{'C': 1.0, 'kernel': 'sigmoid', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
20,0,30,0.0008054733276367188,0.0004030213049082664,0.0007907390594482422,0.0003956803415840143,10.0,linear,,"{'C': 10.0, 'kernel': 'linear', 'random_state': None}",0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.5,0.7333333333333333,0.16996731711975951,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SVC,,,
21,0,30,0.00040030479431152344,0.000490271388754977,0.0008048534393310547,0.0004027131148491898,10.0,poly,,"{'C': 10.0, 'kernel': 'poly', 'random_state': None}",1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.9,0.13333333333333336,20,1.0,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.975,0.02041241452319313,SVC,,,
22,0,30,0.00039930343627929686,0.000489045672592973,0.0011984825134277344,0.0003790890015738037,10.0,rbf,,"{'C': 10.0, 'kernel': 'rbf', 'random_state': None}",0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.12472191289246475,23,0.9583333333333334,1.0,1.0,1.0,0.9583333333333334,0.9833333333333334,0.020412414523193135,SVC,,,
23,0,30,0.000399017333984375,0.0004886944333937081,0.001197671890258789,0.0003988367753940338,10.0,sigmoid,,"{'C': 10.0, 'kernel': 'sigmoid', 'random_state': None}",1.0,1.0,1.0,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.2581988897471611,22,0.9166666666666666,0.9583333333333334,0.75,0.8333333333333334,0.875,0.8666666666666668,0.07168604389202189,SVC,,,
24,0,30,0.000989675521850586,1.4928887321882233e-05,0.0007987499237060546,0.00039938738359375996,100.0,linear,,"{'C': 100.0, 'kernel': 'linear', 'random_state': None}",0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.5,0.7333333333333333,0.16996731711975951,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SVC,,,
25,0,30,0.0005984783172607421,0.0004886559030666369,0.0007984161376953125,0.00039921080273504537,100.0,poly,,"{'C': 100.0, 'kernel': 'poly', 'random_state': None}",0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7666666666666666,0.13333333333333336,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SVC,,,
26,0,30,0.0005983352661132812,0.0004885388464116528,0.0009881019592285155,0.0006316008422067545,100.0,rbf,,"{'C': 100.0, 'kernel': 'rbf', 'random_state': None}",0.5,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7333333333333333,0.16996731711975951,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SVC,,,
27,0,30,0.00039796829223632814,0.0004874102080100886,0.0011910438537597657,0.00039046539691274567,100.0,sigmoid,,"{'C': 100.0, 'kernel': 'sigmoid', 'random_state': None}",0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.3333333333333333,0.7666666666666668,0.22607766610417562,24,0.9166666666666666,0.9166666666666666,0.75,0.8333333333333334,0.9583333333333334,0.875,0.07453559924999298,SVC,,,
28,0,30,0.0005972385406494141,0.00048764469518853225,0.001001882553100586,0.0006255798833975803,1000.0,linear,,"{'C': 1000.0, 'kernel': 'linear', 'random_state': None}",0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.5,0.7333333333333333,0.16996731711975951,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SVC,,,
29,0,30,0.0005985736846923828,0.0004887342354141622,0.0007977485656738281,0.0003988744395974553,1000.0,poly,,"{'C': 1000.0, 'kernel': 'poly', 'random_state': None}",0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7666666666666666,0.13333333333333336,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SVC,,,
30,0,30,0.0003989219665527344,0.0004885776558898482,0.0009983062744140625,4.289944672181123e-06,1000.0,rbf,,"{'C': 1000.0, 'kernel': 'rbf', 'random_state': None}",0.5,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7333333333333333,0.16996731711975951,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SVC,,,
